RANK|TEAM|G|TDS|OPP XP|2PT|OPP DXP|OPP FGM|OPP SAF|PTS|AVG
1|Georgia|14|20|20|0|0|12|0|176|12.6
2|San Diego State|13|19|17|2|0|10|0|165|12.7
3|Clemson|15|24|23|0|0|12|0|203|13.5
4|Ohio State|14|23|19|3|0|9|1|192|13.7
5|Iowa|13|21|20|0|0|12|0|182|14
6|Utah|14|25|23|1|0|11|1|210|15
7|Florida|13|23|22|1|0|13|0|201|15.5
8|Penn State|13|23|22|0|0|16|0|208|16
9|Oregon|14|24|21|3|0|20|0|231|16.5
10|Wisconsin|14|30|25|1|0|10|0|237|16.9
11|Wyoming|13|25|24|0|0|19|0|231|17.8
12|Notre Dame|13|26|26|0|0|17|0|233|17.9
13|Alabama|13|26|22|2|0|20|0|242|18.6
14|Kentucky|13|32|29|0|0|10|0|251|19.3
15|Washington|13|30|27|0|0|15|0|252|19.4
16|Missouri|12|28|24|1|0|13|0|233|19.4
17|Auburn|13|32|29|0|0|11|0|254|19.5
18|Louisiana|14|33|28|1|0|16|0|276|19.7
19|Baylor|14|32|28|0|0|19|0|277|19.8
20|Air Force|13|34|27|0|0|9|0|258|19.8
21|Appalachian State|14|35|29|1|0|13|0|280|20
22|Western Kentucky|13|32|28|1|0|13|0|261|20.1
23|Miami (Fla.)|13|30|28|1|0|17|1|263|20.2
24|Cincinnati|14|34|28|1|0|18|0|288|20.6
25|Michigan|13|37|36|1|0|3|0|269|20.7
26|Buffalo|13|35|31|0|0|12|0|277|21.3
27|Kansas State|13|31|30|1|0|20|0|278|21.4
28|UAB|14|38|33|1|0|13|0|302|21.6
29|Tennessee|13|34|30|0|0|16|0|282|21.7
30|Louisiana Tech|13|35|35|0|0|13|0|284|21.8
31|Boise State|14|39|33|3|0|11|0|306|21.9
32|LSU|15|42|37|3|0|11|0|328|21.9
33|California|13|32|29|1|1|20|0|285|21.9
34|Navy|13|36|35|0|0|13|0|290|22.3
35|Arizona State|13|39|39|0|0|6|0|291|22.4
36|Pittsburgh|13|33|29|1|0|21|0|292|22.5
37|Michigan State|13|37|33|1|0|12|0|293|22.5
-|Texas A&M|13|35|33|0|0|16|1|293|22.5
-|Minnesota|13|37|31|1|0|12|1|293|22.5
40|Fla. Atlantic|14|41|34|3|0|10|1|318|22.7
41|Army|13|38|34|2|0|11|0|299|23
-|UCF|13|36|31|2|0|16|0|299|23
43|Northwestern|12|34|34|0|0|15|0|283|23.6
44|North Carolina|13|38|34|2|0|14|0|308|23.7
45|Indiana|13|39|35|2|0|14|1|317|24.4
46|Virginia Tech|13|41|35|2|0|12|0|321|24.7
47|Marshall|13|41|40|0|0|13|0|325|25
48|BYU|13|40|36|2|0|17|0|331|25.5
49|Rice|12|40|36|1|0|11|0|311|25.9
50|Western Michigan|13|40|35|1|0|20|0|337|25.9
-|Iowa State|13|39|35|1|0|22|0|337|25.9
-|Temple|13|43|41|0|1|10|3|337|25.9
53|South Carolina|12|37|35|1|0|18|0|313|26.1
54|Illinois|13|41|33|2|0|19|0|340|26.2
55|Southern Mississippi|13|44|42|0|0|11|1|341|26.2
56|Tulane|13|43|36|0|0|16|0|342|26.3
57|TCU|12|39|33|1|0|16|0|317|26.4
58|Memphis|14|45|38|4|0|18|0|370|26.4
59|Ole Miss|12|39|34|0|0|16|1|318|26.5
60|Ohio|13|43|36|0|0|17|0|345|26.5
61|Oklahoma State|13|43|38|2|0|16|0|348|26.8
62|Virginia|14|48|47|0|0|15|0|380|27.1
63|FIU|13|43|37|1|0|19|0|354|27.2
64|Oklahoma|14|48|46|0|0|16|0|382|27.3
65|Texas|13|42|38|2|0|21|0|357|27.5
66|Nebraska|12|41|38|1|0|15|1|333|27.8
67|Florida State|13|40|34|2|0|28|0|362|27.8
68|Liberty|13|46|42|1|0|15|0|365|28.1
69|Miami (Ohio)|14|52|49|0|0|11|0|394|28.1
70|Georgia Southern|13|47|42|3|0|12|0|366|28.2
71|Northern Illinois|12|43|40|2|0|12|0|338|28.2
72|Central Michigan|14|49|46|0|0|18|1|396|28.3
73|West Virginia|12|43|43|0|0|15|0|346|28.8
74|Mississippi State|13|49|46|1|0|11|0|375|28.8
75|USF|12|45|42|1|0|11|0|347|28.9
76|Wake Forest|13|47|43|1|0|17|0|378|29.1
77|Duke|12|43|39|1|0|17|0|350|29.2
78|Southern California|13|47|44|1|0|18|0|382|29.4
79|Stanford|12|45|43|0|0|15|0|358|29.8
-|Old Dominion|12|45|42|2|0|14|0|358|29.8
81|MTSU|12|43|39|0|1|20|0|359|29.9
82|Fresno State|12|46|42|2|0|13|0|361|30.1
-|NC State|12|46|43|0|0|14|0|361|30.1
84|Texas Tech|12|46|37|3|0|15|0|364|30.3
85|Coastal Carolina|12|50|48|0|0|6|0|366|30.5
86|Purdue|12|46|42|1|0|15|1|367|30.6
87|Eastern Michigan|13|52|45|3|0|11|1|398|30.6
88|South Alabama|12|44|42|0|1|20|0|368|30.7
-|Syracuse|12|47|42|1|0|14|0|368|30.7
90|Utah State|13|53|49|1|0|10|0|399|30.7
91|Colorado State|12|47|45|1|0|15|0|374|31.2
92|Tulsa|12|48|44|0|0|14|1|376|31.3
93|Washington State|13|53|46|4|0|12|0|408|31.4
94|Ball State|12|47|41|3|0|16|0|377|31.4
95|Vanderbilt|12|50|49|1|0|10|0|381|31.8
96|Colorado|12|50|49|0|0|11|0|382|31.8
97|Kent State|13|52|48|0|0|18|0|414|31.8
98|Hawaii|15|61|59|1|0|17|0|478|31.9
99|San Jose State|12|49|46|0|0|13|2|383|31.9
100|Nevada|13|52|51|0|0|16|2|415|31.9
101|Boston College|13|49|49|0|0|25|0|418|32.2
102|Toledo|12|50|46|2|0|12|0|386|32.2
103|Charlotte|13|56|51|2|0|10|0|421|32.4
104|Georgia Tech|12|49|47|0|0|16|0|389|32.4
105|North Texas|12|50|39|3|0|15|0|390|32.5
-|Oregon State|12|52|45|0|0|11|0|390|32.5
107|Texas State|12|51|49|0|0|12|0|391|32.6
108|UNLV|12|49|44|1|0|18|1|396|33
109|SMU|13|53|50|2|0|20|1|434|33.4
-|Louisville|13|58|57|1|0|9|0|434|33.4
111|East Carolina|12|53|50|2|0|10|1|404|33.7
112|UTSA|12|51|47|0|0|18|0|407|33.9
113|Houston|12|54|52|0|0|10|1|408|34
114|Arkansas State|13|56|46|3|0|18|1|444|34.2
115|Maryland|12|53|50|0|0|16|0|416|34.7
116|Troy|12|53|49|2|0|14|2|417|34.8
-|UCLA|12|55|52|1|0|11|0|417|34.8
118|Arizona|12|54|52|1|0|17|0|429|35.8
119|UTEP|12|54|47|1|0|18|2|431|35.9
120|Kansas|12|56|50|0|1|15|0|433|36.1
121|Georgia State|13|62|53|2|0|14|0|471|36.2
122|Akron|12|56|55|1|0|14|0|435|36.3
123|Rutgers|12|59|56|0|0|10|0|440|36.7
124|Arkansas|12|57|55|0|0|15|0|442|36.8
125|New Mexico|12|59|55|1|1|11|0|446|37.2
126|Bowling Green|12|62|61|0|0|10|0|463|38.6
127|Louisiana-Monroe|12|61|57|1|0|13|0|464|38.7
128|UConn|12|67|66|0|0|6|0|486|40.5
129|New Mexico State|12|61|55|1|0|23|0|492|41
130|UMass|12|86|84|1|0|10|0|632|52.7
